subject,accuracy,chance,n_trials,sfreq,status
1,0.9111,0.5333,45,160,"ok"
2,0.7778,0.5333,45,160,"ok"
3,0.4889,0.5333,45,160,"ok"
4,0.6889,0.5111,45,160,"ok"
5,0.4667,0.5111,45,160,"ok"
6,0.5556,0.5111,45,160,"ok"
7,0.8889,0.5111,45,160,"ok"
8,0.9111,0.5111,45,160,"ok"
9,0.4667,0.5111,45,160,"ok"
10,0.7111,0.5111,45,160,"ok"
11,0.4444,0.5111,45,160,"ok"
12,0.8222,0.5111,45,160,"ok"
13,0.7111,0.5111,45,160,"ok"
14,0.4667,0.5333,45,160,"ok"
15,0.8667,0.5111,45,160,"ok"
16,0.4444,0.5333,45,160,"ok"
17,0.6222,0.5333,45,160,"ok"
18,0.5333,0.5111,45,160,"ok"
19,0.6444,0.5111,45,160,"ok"
20,0.4000,0.5111,45,160,"ok"
21,0.5333,0.5333,45,160,"ok"
22,0.5778,0.5333,45,160,"ok"
23,0.5556,0.5111,45,160,"ok"
24,0.5111,0.5111,45,160,"ok"
25,0.8444,0.5333,45,160,"ok"
26,0.4444,0.5333,45,160,"ok"
27,0.6667,0.5111,45,160,"ok"
28,0.4667,0.5111,45,160,"ok"
29,0.9111,0.5111,45,160,"ok"
30,0.6444,0.5333,45,160,"ok"
31,0.8667,0.5111,45,160,"ok"
32,0.3556,0.5111,45,160,"ok"
33,0.6667,0.5111,45,160,"ok"
34,0.9000,0.5000,42,160,"ok"
35,0.9556,0.5333,45,160,"ok"
36,0.6000,0.5111,45,160,"ok"
37,0.5722,0.5000,42,160,"ok"
38,0.5556,0.5111,45,160,"ok"
39,0.4444,0.5111,45,160,"ok"
40,0.4222,0.5111,45,160,"ok"
41,0.5278,0.5000,44,160,"ok"
42,0.9778,0.5333,45,160,"ok"
43,0.7333,0.5111,45,160,"ok"
44,0.6222,0.5111,45,160,"ok"
45,0.4222,0.5333,45,160,"ok"
46,0.5111,0.5111,45,160,"ok"
47,0.4222,0.5111,45,160,"ok"
48,0.8667,0.5333,45,160,"ok"
49,0.7333,0.5333,45,160,"ok"
50,0.6889,0.5333,45,160,"ok"
51,0.5111,0.5333,45,160,"ok"
52,0.7333,0.5111,45,160,"ok"
53,0.4444,0.5111,45,160,"ok"
54,0.8000,0.5111,45,160,"ok"
55,0.9556,0.5111,45,160,"ok"
56,0.7556,0.5111,45,160,"ok"
57,0.5333,0.5111,45,160,"ok"
58,0.6889,0.5111,45,160,"ok"
59,0.5778,0.5111,45,160,"ok"
60,0.8444,0.5333,45,160,"ok"
61,0.6000,0.5333,45,160,"ok"
62,0.9778,0.5111,45,160,"ok"
63,0.5333,0.5111,45,160,"ok"
64,0.3694,0.5116,43,160,"ok"
65,0.6667,0.5111,45,160,"ok"
66,0.7333,0.5111,45,160,"ok"
67,0.4444,0.5111,45,160,"ok"
68,0.5556,0.5111,45,160,"ok"
69,0.6222,0.5111,45,160,"ok"
70,1.0000,0.5111,45,160,"ok"
71,0.8667,0.5111,45,160,"ok"
72,0.9528,0.5000,42,160,"ok"
73,0.7806,0.5000,42,160,"ok"
74,0.3583,0.5000,42,160,"ok"
75,0.7333,0.5333,45,160,"ok"
76,0.4722,0.5000,42,160,"ok"
77,0.3778,0.5111,45,160,"ok"
78,0.4889,0.5111,45,160,"ok"
79,0.6000,0.5333,45,160,"ok"
80,0.7556,0.5333,45,160,"ok"
81,0.6444,0.5111,45,160,"ok"
82,0.4444,0.5333,45,160,"ok"
83,0.7111,0.5111,45,160,"ok"
84,0.6444,0.5111,45,160,"ok"
85,0.9556,0.5111,45,160,"ok"
86,0.8889,0.5333,45,160,"ok"
87,0.5778,0.5111,45,160,"ok"
88,0.5970,0.5088,57,128,"ok (sfreq=128 Hz)"
89,0.4000,0.5333,45,160,"ok"
90,0.5333,0.5111,45,160,"ok"
91,0.6444,0.5111,45,160,"ok"
92,0.6455,0.5263,57,128,"ok (sfreq=128 Hz)"
93,0.8667,0.5111,45,160,"ok"
94,0.5778,0.5111,45,160,"ok"
95,0.6222,0.5111,45,160,"ok"
96,0.5333,0.5333,45,160,"ok"
97,0.5778,0.5111,45,160,"ok"
98,0.7778,0.5333,45,160,"ok"
99,0.5333,0.5333,45,160,"ok"
100,0.7786,0.5000,36,128,"ok (sfreq=128 Hz)"
101,0.6000,0.5333,45,160,"ok"
102,0.5333,0.5116,43,160,"ok"
103,0.5556,0.5111,45,160,"ok"
104,0.7333,0.5111,45,160,"ok"
105,0.7111,0.5333,45,160,"ok"
106,0.5111,0.5111,45,160,"ok"
107,0.5556,0.5111,45,160,"ok"
108,0.5556,0.5111,45,160,"ok"
109,0.5333,0.5111,45,160,"ok"
